City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
150,Komsomolets,KZ,53.7453,62.0708,6.06,97,100,5.06,overcast clouds
151,Homer,US,59.6425,-151.5483,37.78,86,75,4.61,broken clouds
152,Shizuishan,CN,39.2333,106.7694,26.29,69,99,9.48,overcast clouds
153,Kodiak,US,57.79,-152.4072,40.51,60,0,8.05,clear sky
154,Clyde River,CA,70.4692,-68.5914,-16.37,76,100,35.68,snow
155,Florianopolis,BR,-27.6146,-48.5012,76.69,69,75,8.05,broken clouds
156,Nador,MA,35.174,-2.9287,53.85,82,75,0.0,broken clouds
157,Kiunga,PG,-6.1219,141.2906,80.29,73,60,2.06,broken clouds
158,Soverato,IT,38.685,16.5499,49.95,85,100,1.77,overcast clouds
159,Diu,IN,20.7141,70.9822,67.59,35,1,6.4,clear sky
160,Khuldabad,IN,20.05,75.1833,61.18,35,51,4.41,broken clouds
161,Vihti,FI,60.417,24.3197,36.28,85,100,11.01,overcast clouds
162,Nosy Varika,MG,-20.5833,48.5333,73.27,87,49,9.08,scattered clouds
163,Berlevag,NO,70.8578,29.0864,25.05,77,68,21.74,broken clouds
164,Montepuez,MZ,-13.1256,38.9997,68.54,97,100,3.38,overcast clouds
165,Cherskiy,RU,68.75,161.3,-19.25,98,100,10.07,overcast clouds
166,Mar Del Plata,AR,-38.0023,-57.5575,64.42,70,40,13.8,scattered clouds
167,Trelew,AR,-43.249,-65.3051,83.03,14,79,14.99,broken clouds
168,Port Hedland,AU,-20.3167,118.5667,82.45,94,40,6.91,light rain
169,Bereda,ES,43.2686,-7.5406,44.58,100,30,2.82,scattered clouds
170,Taksimo,RU,56.3444,114.8794,-27.65,96,82,1.05,broken clouds
171,Saint Anthony,US,45.0205,-93.218,6.24,58,100,8.05,overcast clouds
172,Victoria,HK,22.2855,114.1577,64.94,89,99,5.99,overcast clouds
173,Estrella,PH,15.75,121.0333,72.57,83,98,5.23,overcast clouds
174,Mount Isa,AU,-20.7333,139.5,78.57,73,40,1.14,scattered clouds
175,Nhulunbuy,AU,-12.2333,136.7667,81.21,83,8,0.0,clear sky
176,Abu Dhabi,AE,24.4667,54.3667,69.96,77,0,3.44,clear sky
177,Neiafu,TO,-18.65,-173.9833,84.88,74,40,11.5,scattered clouds
178,Atar,MR,20.5169,-13.0499,68.16,24,38,8.21,scattered clouds
179,Mosquera,CO,4.7059,-74.2302,62.69,67,75,11.5,broken clouds
180,Faanui,PF,-16.4833,-151.75,81.28,73,91,13.73,overcast clouds
181,Carnarvon,AU,-24.8667,113.6333,80.67,69,40,5.75,scattered clouds
182,Ahipara,NZ,-35.1667,173.1667,68.58,72,75,20.07,broken clouds
183,Florida,US,28.7505,-82.5001,77.02,66,0,0.0,clear sky
184,Padang,ID,-0.9492,100.3543,76.06,80,98,4.43,overcast clouds
185,Najran,SA,17.4924,44.1277,65.05,36,4,5.35,clear sky
186,Kandri,IN,21.4167,79.2667,54.97,32,8,5.46,clear sky
187,Yar-Sale,RU,66.8333,70.8333,-9.31,94,100,14.79,overcast clouds
188,Komsomolskiy,UZ,40.4272,71.7189,38.62,93,100,4.61,fog
189,South Lake Tahoe,US,38.9332,-119.9844,61.84,40,0,8.05,clear sky
190,Escarcega,MX,18.6089,-90.7454,82.18,59,62,2.71,broken clouds
191,Makaryev,RU,57.8797,43.8069,14.07,97,90,6.87,overcast clouds
192,Sorland,NO,67.667,12.6934,32.68,83,100,20.8,light snow
193,Mozarlandia,BR,-14.7447,-50.5706,73.51,95,54,5.5,broken clouds
194,Touros,BR,-5.1989,-35.4608,83.3,78,30,9.06,scattered clouds
195,Jackson,US,42.4165,-122.8345,72.64,27,0,5.01,clear sky
196,Katav-Ivanovsk,RU,54.7531,58.1956,17.96,96,99,3.27,overcast clouds
197,Lipari,IT,38.4674,14.954,56.23,67,97,0.72,overcast clouds
198,Kaoma,ZM,-14.7833,24.8,63.03,96,100,4.5,overcast clouds
199,Iqaluit,CA,63.7506,-68.5145,-25.87,75,75,2.3,broken clouds
200,Karasuk,RU,53.7377,78.0403,11.32,95,99,10.22,light snow
201,Torbay,CA,47.6666,-52.7314,47.75,82,100,17.27,overcast clouds
202,Monster,NL,52.0258,4.175,39.34,70,83,14.97,broken clouds
203,Chicama,PE,-7.8447,-79.1469,70.34,67,35,8.3,scattered clouds
204,Spasskoye,RU,44.6108,132.7969,-5.96,95,32,2.66,scattered clouds
205,Husavik,IS,66.0449,-17.3389,21.11,85,91,8.08,overcast clouds
206,Tomatlan,MX,19.9333,-105.25,86.38,37,22,10.27,few clouds
207,Mayumba,GA,-3.432,10.6554,77.94,90,100,2.68,light rain
208,Acapulco,MX,16.8634,-99.8901,85.82,51,75,9.22,broken clouds
209,Christchurch,NZ,-43.5333,172.6333,52.92,91,100,8.05,light rain
