City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
177,Neiafu,TO,84.88,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
180,Faanui,PF,81.28,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
181,Carnarvon,AU,80.67,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
183,Florida,US,77.02,clear sky,28.7505,-82.5001,Sportsmens Cove
184,Padang,ID,76.06,overcast clouds,-0.9492,100.3543,Mercure Padang
190,Escarcega,MX,82.18,broken clouds,18.6089,-90.7454,Hotel Maria Isabel
194,Touros,BR,83.3,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
206,Tomatlan,MX,86.38,few clouds,19.9333,-105.25,El Salvial
207,Mayumba,GA,77.94,light rain,-3.432,10.6554,LIKWALE LODGE
208,Acapulco,MX,85.82,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
211,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
214,Victoria Point,AU,79.25,broken clouds,-27.5833,153.3,Bay Retreat Motel
232,Puerto Ayora,EC,85.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
238,Kalmunai,LK,75.42,overcast clouds,7.4167,81.8167,VS Villa
240,Pedasi,PA,83.07,clear sky,7.5333,-80.0333,Selina Pedasi
241,Kavieng,PG,81.9,light rain,-2.5744,150.7967,Nusa Island Retreat
249,Puerto Madryn,AR,76.5,broken clouds,-42.7692,-65.0385,Hotel Tolosa
252,Codrington,AU,81.66,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
259,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
260,Port-Gentil,GA,80.15,light rain,-0.7193,8.7815,Fengshui Residence
263,Townsville,AU,81.48,broken clouds,-19.25,146.8,Rydges Southbank Townsville
264,Bandarbeyla,SO,75.47,overcast clouds,9.4942,50.8122,JABIR HOTEL
266,Bumba,CD,75.88,overcast clouds,2.1833,22.4667,Père Carlos
268,Maceio,BR,80.04,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
289,Rio Das Pedras,BR,77.47,broken clouds,-22.8433,-47.6061,LucasDM
294,Port Augusta,AU,86.7,broken clouds,-32.5,137.7667,Majestic Oasis Apartments
295,Iralaya,HN,79.3,few clouds,15.0,-83.2333,Iglesia morava renovada
298,Coihaique,CL,84.81,scattered clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
306,Wajir,KE,81.79,scattered clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
308,Lotofaga,WS,85.78,moderate rain,-13.9764,-171.8578,Sataoa Beach Fales
313,Ko Samui,TH,81.66,broken clouds,9.5357,99.9357,The Passage
318,Bafoulabe,ML,77.16,clear sky,13.8065,-10.8321,Logement du Chargé SIS Abdoul Karim Konaté
322,Vanimo,PG,78.84,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
325,Salalah,OM,75.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
327,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
333,Kouroussa,GN,76.19,clear sky,10.65,-9.8833,Hotel Paillote
347,Kirakira,SB,82.8,overcast clouds,-10.4544,161.9205,SanBiz Lodge
349,Aden,YE,76.1,broken clouds,12.7794,45.0367,Sama Emirate Hotel
361,Kupang,ID,78.73,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
